type,trialNo,stim1,stim2,stim3,key,ITI,presTime,stimFormat,title,content,trialText,button1,feedbackCorrect,feedbackIncorrect,keyboard
learn,,Dan_Right_Frontal,,,,500,3000,.jpg,,,Memorize,,,,
test,4,1_D1_Identical_Left,2_D1_Identical_Left,3_D1_Identical_Left,1,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,5,1_D2_Identical_Frontal,2_D2_Identical_Frontal,3_D2_Identical_Frontal,3,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,6,1_D3_Identical_Right,2_D3_Identical_Right,3_D3_Identical_Right,2,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
instructions,,,,,,500,,,,Memorize the following bike.<br><br>press ENTER.,,return,,,
learn,,Jim_left,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Jim_front,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Jim_right,,,,500,3000,.jpg,,,Memorize,,,,
test,7,1_J_1_Iden_L,2_J_1_Iden_L,3_J_1_Iden_L,1,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,8,1_J_2_Iden_Front,2_J_2_Iden_Front,3_J_2_Iden_Front,1,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,9,1_J_3_Iden_R,2_J_3_Iden_R,3_J_3_Iden_R,2,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
instructions,,,,,,500,,,,Memorize the following bike.<br><br>press ENTER.,,return,,,
learn,,Matt_left_cropped,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Matt_front,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Matt_right_cropped,,,,500,3000,.jpg,,,Memorize,,,,
test,10,1_M_1_Iden_L,2_M_1_Iden_L,3_M_1_Iden_L,3,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,11,1_M_2_Iden_Front,2_M_2_Iden_Front,3_M_2_Iden_Front,2,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,12,1_M_3_Iden_R,2_M_3_Iden_R,3_M_3_Iden_R,1,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
instructions,,,,,,500,,,,Memorize the following bike.<br><br>press ENTER.,,return,,,
learn,,Nate_left_cropped,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Nate_front_cropped,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Nate_right_cropped,,,,500,3000,.jpg,,,Memorize,,,,
test,13,1_N_1_Iden_L,2_N_1_Iden_L,3_N_1_Iden_L,2,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,14,1_N_2_Iden_Front,2_N_2_Iden_Front,3_N_2_Iden_Front,2,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,15,1_N_3_Iden_R,2_N_3_Iden_R,3_N_3_Iden_R,3,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
instructions,,,,,,500,,,,Memorize the following bike.<br><br>press ENTER.,,return,,,
learn,,Zack_Left_cropped,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Zack_Front_cropped,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Zack_Right_Cropped,,,,500,3000,.jpg,,,Memorize,,,,
test,16,1_Z_1_Iden_L,2_Z_1_Iden_L,3_Z_1_Iden_L,1,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,17,1_Z_2_Iden_Front,2_Z_2_Iden_Front,3_Z_2_Iden_Front,3,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,18,1_Z_3_Iden_R,2_Z_3_Iden_R,3_Z_3_Iden_R,1,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
instructions,,,,,,500,,,,Next you will review the same six bikes for 20 seconds.<br><br>press ENTER.,,return,,,
learn,,AA_Review_image,,,,500,20000,.jpg,,,Review the bikes (20 seconds),,,,
instructions,,,,,,500,,,,"Now your memory of these bikes will be tested.<br><br>In the remaining trials, the correct answer can be any of the six bikes.<br><br>The incorrect bikes are sometimes very similar to the target bikes, so be sure to look at each bike prior to answering.<br><br>press ENTER.",,return,,,
test,19,1_M_5_Front_Halflit,2_M_5_Front_Halflit,3_M_5_Front_Halflit,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,20,1_N_8_13_R_Pro_dark,2_N_8_13_R_Pro_dark,3_N_8_13_R_Pro_dark,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,21,1_Z_6_23_Pro_L,2_Z_6_23_Pro_L,3_Z_6_23_Pro_L,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,22,1_D5_Halflit_Frontal,2_D5_Halflit_Frontal,3_D5_Halflit_Frontal,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,23,1_B7_Bottomlit_Frontal,2_B7_Bottomlit_Frontal,3_B7_Bottomlit_Frontal,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,24,1_J_6_23_L_Pro,2_J_6_23_L_Pro,3_J_6_23_L_Pro,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,25,1_D7_Bottomlit_Frontal,2_D7_Bottomlit_Frontal,3_D7_Bottomlit_Frontal,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,26,1_Z_5_Front_Half,2_Z_5_Front_Half,3_Z_5_Front_Half,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,27,1_M_6_23_L_Pro,2_M_6_23_L_Pro,3_M_6_23_L_Pro,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,28,1_J_7_Bottom_Lit,2_J_7_Bottom_Lit,3_J_7_Bottom_Lit,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,29,1_N_4_23_R_Pro,2_N_4_23_R_Pro,3_N_4_23_R_Pro,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,30,1_M_8_13_R_Pro_dark,2_M_8_13_R_Pro_dark,3_M_8_13_R_Pro_dark,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,31,1_J_5_Front_Halflit,2_J_5_Front_Halflit,3_J_5_Front_Halflit,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,32,1_N_7_Front_Bot,2_N_7_Front_Bot,3_N_7_Front_Bot,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,33,1_Z_4_23_Pro_R,2_Z_4_23_Pro_R,3_Z_4_23_Pro_R,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,34,1_D8_13_Profile_R,2_D8_13_Profile_R,3_D8_13_Profile_R,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,35,1_M_7_Front_Bot,2_M_7_Front_Bot,3_M_7_Front_Bot,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,36,1_B4_23_pro_ri,2_B4_23_pro_ri,3_B4_23_pro_ri,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,37,1_D6_23_Profile_L,2_D6_23_Profile_L,3_D6_23_Profile_L,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,38,1_N_5_Front_Half,2_N_5_Front_Half,3_N_5_Front_Half,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,39,1_B6_23_pro_L,2_B6_23_pro_L,3_B6_23_pro_L,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,40,1_Z_8_13_Pro_R_dark,2_Z_8_13_Pro_R_dark,3_Z_8_13_Pro_R_dark,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,41,1_J_4_23_R_Pro,2_J_4_23_R_Pro,3_J_4_23_R_Pro,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,42,1_B8_13_pro_R_HS,2_B8_13_pro_R_HS,3_B8_13_pro_R_HS,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,43,1_M_4_23_R_Pro,2_M_4_23_R_Pro,3_M_4_23_R_Pro,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,44,1_J_8_13_r_pro_dark,2_J_8_13_r_pro_dark,3_J_8_13_r_pro_dark,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,45,1_Z_7_Front_Bot,2_Z_7_Front_Bot,3_Z_7_Front_Bot,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,46,1_D4_23_profile_R,2_D4_23_profile_R,3_D4_23_profile_R,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,47,1_N_6_23_L_Pro,2_N_6_23_L_Pro,3_N_6_23_L_Pro,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,48,1_B5_halflit_frontal,2_B5_halflit_frontal,3_B5_halflit_frontal,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
learn,,AA_Review_image,,,,500,20000,.jpg,,,Review the bikes (20 seconds),,,,
test,49,1_Z_12_Front_Noisy,2_Z_12_Front_Noisy,3_Z_12_Front_Noisy,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,50,1_M_11_23_N_R_Pro,2_M_11_23_N_R_Pro,3_M_11_23_N_R_Pro,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,51,1_D10_Noisy_13_Profile_L,2_D10_Noisy_13_Profile_L,3_D10_Noisy_13_Profile_L,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,52,1_J_12_Frontal_HS,2_J_12_Frontal_HS,3_J_12_Frontal_HS,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,53,1_J_11_23_pro_R,2_J_11_23_pro_R,3_J_11_23_pro_R,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,54,1_N_9_Front_LS,2_N_9_Front_LS,3_N_9_Front_LS,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,55,1_B12_Noisy_frontal_HS,2_B12_Noisy_frontal_HS,3_B12_Noisy_frontal_HS,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,56,1_M_12_Front_N_HS,2_M_12_Front_N_HS,3_M_12_Front_N_HS,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,57,1_D12_Noisy_Frontal_HS,2_D12_Noisy_Frontal_HS,3_D12_Noisy_Frontal_HS,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,58,1_Z_11_23_Pro_R,2_Z_11_23_Pro_R,3_Z_11_23_Pro_R,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,59,1_N_10_13_L_Pro_dark,2_N_10_13_L_Pro_dark,3_N_10_13_L_Pro_dark,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,60,1_B9_Noisy_frontal_LS,2_B9_Noisy_frontal_LS,3_B9_Noisy_frontal_LS,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,61,1_M_9_Front_N_LS,2_M_9_Front_N_LS,3_M_9_Front_N_LS,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,62,1_J_9_N_Frontal_50,2_J_9_N_Frontal_50,3_J_9_N_Frontal_50,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,63,1_N_12_Front_Noisy,2_N_12_Front_Noisy,3_N_12_Front_Noisy,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,64,1_B10_Noisy_13_pro_L,2_B10_Noisy_13_pro_L,3_B10_Noisy_13_pro_L,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,65,1_N_11_23_R_Pro,2_N_11_23_R_Pro,3_N_11_23_R_Pro,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,66,1_J_10_13_pro_l,2_J_10_13_pro_l,3_J_10_13_pro_l,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,67,1_Z_9_Front_Noisy,2_Z_9_Front_Noisy,3_Z_9_Front_Noisy,3,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,68,1_D9_Noisy_Frontal_LS,2_D9_Noisy_Frontal_LS,3_D9_Noisy_Frontal_LS,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,69,1_M_10_N_13_L_Pro_D,2_M_10_N_13_L_Pro_D,3_M_10_N_13_L_Pro_D,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,70,1_Z_10_13_Pro_L,2_Z_10_13_Pro_L,3_Z_10_13_Pro_L,1,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,71,1_B11_Noise_23_pro_R,2_B11_Noise_23_pro_R,3_B11_Noise_23_pro_R,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
test,72,1_D11_Noisy_23_profile_R,2_D11_Noisy_23_profile_R,3_D11_Noisy_23_profile_R,2,500,,.jpg,,,Which bike is one of the six target bikes?,,,,1 2 3
