type,block,randomize,condition1,trialNo,stim1,key,ITI,presTime,stimFormat,title,content,trialText,button1,feedbackIncorrect,keyboard
test,5,no,learn,5,D2_Identical_Frontal,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,6,D3_Identical_Right,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
instructions,5,no,,,,,500,,,,Memorize the following face.<br><br>press ENTER.,,return,,
learn,5,no,,,Jim_left,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Jim_front,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Jim_right,,500,3000,.jpg,,,Memorize,,,
test,5,no,learn,7,J_1_Iden_L,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,8,J_2_Iden_Front,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,9,J_3_Iden_R,1,500,,.jpg,,,Which face did you just view?,,,1 2 3
instructions,5,no,,,,,500,,,,Memorize the following face.<br><br>press ENTER.,,return,,
learn,5,no,,,Matt_left_cropped,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Matt_front,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Matt_right_cropped,,500,3000,.jpg,,,Memorize,,,
test,5,no,learn,10,M_1_Iden_L,2,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,11,M_2_Iden_Front,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,12,M_3_Iden_R,1,500,,.jpg,,,Which face did you just view?,,,1 2 3
instructions,5,no,,,,,500,,,,Memorize the following face.<br><br>press ENTER.,,return,,
learn,5,no,,,Nate_left_cropped,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Nate_front_cropped,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Nate_right_cropped,,500,3000,.jpg,,,Memorize,,,
test,5,no,learn,13,N_1_Iden_L,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,14,N_2_Iden_Front,1,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,15,N_3_Iden_R,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
instructions,5,no,,,,,500,,,,Memorize the following face.<br><br>press ENTER.,,return,,
learn,5,no,,,Zack_Left_cropped,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Zack_Front_cropped,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Zack_Right_Cropped,,500,3000,.jpg,,,Memorize,,,
test,5,no,learn,16,Z_1_Iden_L,1,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,17,Z_2_Iden_Front,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,18,Z_3_Iden_R,1,500,,.jpg,,,Which face did you just view?,,,1 2 3
instructions,5,no,,,,,500,,,,Next you will review the same six people for 20 seconds.<br><br>press ENTER.,,return,,
learn,5,no,,,AA_Review_image,,500,20000,.jpg,,,Review the faces (20 seconds),,,
instructions,5,no,,,,,500,,,,"Now your memory of these faces will be tested.<br><br>In the remaining trials, the correct answer can be any of the six faces.<br><br>The incorrect faces are sometimes very similar to the target faces, so be sure to look at each face prior to answering.<br><br>press ENTER.",,return,,
test,2,yes,no_noise,19,M_5_Front_Halflit,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,20,N_8_13_R_Pro_dark,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,21,Z_6_23_Pro_L,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,22,D5_Halflit_Frontal,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,23,B7_Bottomlit_Frontal,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,24,J_6_23_L_Pro,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,25,D7_Bottomlit_Frontal,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,26,Z_5_Front_Half,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,27,M_6_23_L_Pro,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,28,J_7_Bottom_Lit,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,29,N_4_23_R_Pro,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,30,M_8_13_R_Pro_dark,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,31,J_5_Front_Halflit,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,32,N_7_Front_Bot,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,33,Z_4_23_Pro_R,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,34,D8_13_Profile_R,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,35,M_7_Front_Bot,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,36,B4_23_pro_ri,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,37,D6_23_Profile_L,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,38,N_5_Front_Half,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,39,B6_23_pro_L,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,40,Z_8_13_Pro_R_dark,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,41,J_4_23_R_Pro,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,42,B8_13_pro_R_HS,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,43,M_4_23_R_Pro,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,44,J_8_13_r_pro_dark,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,45,Z_7_Front_Bot,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,46,D4_23_profile_R,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,47,N_6_23_L_Pro,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,2,yes,no_noise,48,B5_halflit_frontal,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
learn,3,no,,,AA_Review_image,,500,20000,.jpg,,,Review the faces (20 seconds),,,
test,4,yes,noise,49,Z_12_Front_Noisy,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,50,M_11_23_N_R_Pro,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,51,D10_Noisy_13_Profile_L,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,52,J_12_Frontal_HS,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,53,J_11_23_pro_R,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,54,N_9_Front_LS,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,55,B12_Noisy_frontal_HS,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,56,M_12_Front_N_HS,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,57,D12_Noisy_Frontal_HS,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,58,Z_11_23_Pro_R,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,59,N_10_13_L_Pro_dark,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,60,B9_Noisy_frontal_LS,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,61,M_9_Front_N_LS,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,62,J_9_N_Frontal_50,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,63,N_12_Front_Noisy,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,64,B10_Noisy_13_pro_L,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,65,N_11_23_R_Pro,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,66,J_10_13_pro_l,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,67,Z_9_Front_Noisy,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,68,D9_Noisy_Frontal_LS,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,69,M_10_N_13_L_Pro_D,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,70,Z_10_13_Pro_L,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,71,B11_Noise_23_pro_R,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
test,4,yes,noise,72,D11_Noisy_23_profile_R,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3
