type	block	randomize	stim1	key	ITI	presTime	stimFormat	text	content	trialText	trialAudio	keyboard
test	1		20	3	500		.jpg			Which bike did you just view?		1 2 3
test	1		21	1	500		.jpg			Which bike did you just view?		1 2 3
instructions	1				500					Review the bikes (20 seconds)	reviewCBMT.wav	
learn	1		AA_Review_image		500	20000	.jpg					
test	2	yes	22	2	500		.jpg			Which bike is one of the six target bikes?	testquestionCBMT.wav	1 2 3
test	2	yes	23	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	24	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	25	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	26	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	27	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	28	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	29	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	30	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	31	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	32	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	33	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	34	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	35	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	36	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	37	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	38	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	39	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	40	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	41	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	42	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	43	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	44	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	45	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	46	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	47	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	48	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	49	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	50	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	2	yes	51	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
instructions	3				500					Review the bikes (20 seconds)	reviewCBMT.wav	
learn	3		AA_Review_image		500	20000	.jpg					
test	4	yes	52	1	500		.jpg			Which bike is one of the six target bikes?	testquestionCBMT.wav	1 2 3
test	4	yes	53	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	54	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	55	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	56	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	57	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	58	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	59	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	60	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	61	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	62	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	63	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	64	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	65	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	66	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	67	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	68	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	69	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	70	3	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	71	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	72	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	73	1	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	74	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
test	4	yes	75	2	500		.jpg			Which bike is one of the six target bikes?		1 2 3
