type	block	randomize	condition1	trialNo	stim1	key	ITI	presTime	stimFormat	text	content	trialText	trialAudio	keyboard
test	2	yes	46	no_noise	Slide65	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	47	no_noise	Slide66	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	48	no_noise	Slide67	2	500		.jpg			Which car is one of the six target cars?		2 5 8
instructions	3				review		500					Review the cars (20 seconds)	review_CCMT.wav	
learn	3				review		500	20000	.jpg					
test	3		49	noise	Slide69	5	500		.jpg			Which car is one of the six target cars?	test-question.wav	2 5 8
test	4	yes	50	noise	Slide70	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	51	noise	Slide71	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	52	noise	Slide72	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	53	noise	Slide73	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	54	noise	Slide74	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	55	noise	Slide75	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	56	noise	Slide76	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	57	noise	Slide77	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	58	noise	Slide78	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	59	noise	Slide79	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	60	noise	Slide80	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	61	noise	Slide81	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	62	noise	Slide82	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	63	noise	Slide83	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	64	noise	Slide84	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	65	noise	Slide85	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	66	noise	Slide86	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	67	noise	Slide87	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	68	noise	Slide88	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	69	noise	Slide89	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	70	noise	Slide90	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	71	noise	Slide91	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	4	yes	72	noise	Slide92	8	500		.jpg			Which car is one of the six target cars?		2 5 8
